,Date,LST
164,06/14/2019,312.68458593128094
165,06/15/2019,304.8488880467946
166,06/16/2019,310.05054103967
167,06/17/2019,306.88232814104254
168,06/18/2019,312.8640033249761
169,06/19/2019,312.9667062583824
170,06/20/2019,308.3901451222249
171,06/21/2019,309.74836967036754
172,06/22/2019,306.2557735890875
173,06/23/2019,314.1500463814332
174,06/24/2019,307.3158306067753
175,06/25/2019,308.01004234385454
176,06/26/2019,307.5355451172636
177,06/27/2019,308.99370176873776
178,06/28/2019,311.35878767179986
179,06/29/2019,304.01587294343767
180,06/30/2019,312.70325633612475
181,07/01/2019,305.6984437079505
182,07/02/2019,311.62265656478206
183,07/03/2019,305.27195693080716
184,07/04/2019,310.5860433383512
185,07/05/2019,311.84488730280697
186,07/06/2019,310.384832989079
187,07/07/2019,309.49647528571916
