,NDVI,LST,TA,Class
310,0.387744893,298.6544526,5,0
311,0.39004750899999996,298.15340289999995,5,0
312,0.392350125,296.947133,5,0
313,0.39465274200000006,298.22127689999996,5,0
314,0.396955358,295.1060537,5,0
315,0.39925797399999996,291.99083060000004,5,0
316,0.40156059,292.98159510000005,5,0
317,0.40386320600000003,293.97235960000006,5,0
318,0.406165823,294.5337998,5,0
319,0.40846843899999996,293.2502234,5,0
320,0.410771055,297.719479,5,0
321,0.416896789,294.604657,5,0
322,0.423022523,293.3971553,5,0
323,0.42914825700000003,290.11996760000005,5,0
324,0.435273991,292.0886161,5,0
325,0.441399725,292.7785897,5,0
326,0.44752546,292.8638312,5,0
327,0.453651194,294.7487807,5,0
328,0.459776928,290.1746871,5,0
329,0.465902662,288.4706165,5,0
330,0.472028396,286.7665459,5,0
331,0.47815413,285.0624752,5,0
332,0.484279864,285.5467084,5,0
333,0.49040559799999994,286.3688544,5,0
334,0.49653133200000005,287.19100039999995,4,0
335,0.502657066,288.0131465,4,0
336,0.5087828,288.8352925,5,0
337,0.511612917,285.1191356,5,0
338,0.514443034,281.4029787,5,0
339,0.517273151,287.47094260000006,5,0
340,0.520103269,288.2400845,5,0
341,0.5229333860000001,286.1391715,5,0
342,0.525763503,286.4279026,5,0
343,0.52859362,288.9370026,5,0
344,0.531423737,287.1485013,5,0
345,0.534253854,285.36,5,0
346,0.537083971,286.1833486,5,0
347,0.539914088,287.0066972,5,0
348,0.542744205,284.6216924,5,0
349,0.545574322,286.12746139999996,5,0
350,0.54840444,283.63773829999997,4,0
351,0.551234557,281.1480153,5,0
352,0.554064674,288.03553660000006,5,0
353,0.556023085,285.6697376,5,0
354,0.557981497,283.30393860000004,4,0
355,0.559939909,280.9381395,5,0
356,0.561898321,285.0735333,5,0
357,0.5638567320000001,285.28337700000003,5,0
358,0.565815144,285.49322060000003,5,0
359,0.567773556,285.7030642,5,0
360,0.5697319679999999,283.88099750000003,5,0
361,0.571690379,286.9353713,5,0
362,0.573648791,286.41445319999997,5,0
363,0.575607203,285.893535,5,0
