NDVI,LST,TA,CLASS
0.285422716,312.3776011,5,Fire
0.281907212,314.3254908,5,Fire
0.278391707,306.9114854,5,No_fire
0.274876202,313.0738629,5,No_fire
0.271360697,309.9076835,5,No_fire
0.267845192,317.2346996,5,Fire
0.264329688,309.5965535,5,Fire
0.260814183,309.4188151,5,Fire
0.257298678,313.6802208,5,Fire
0.253783173,308.6903917,5,Fire
0.250267668,314.0971669,5,Fire
0.246752163,311.2319134,5,Fire
0.243236659,313.8512945,5,Fire
0.239721154,310.4139128,9,No_fire
0.24746142,310.3668016,8,No_fire
0.255201687,313.7255384,5,Fire
0.262941954,309.3592346,9,Fire
0.27068222,312.028973,9,Fire
0.278422487,308.7264709,5,Fire
0.286162753,314.2690833,9,Fire
0.29390302,307.6921195,9,Fire
0.301643286,309.6251964,9,Fire
0.309383553,315.1414405,9,Fire
0.317123819,306.0540718,9,Fire
0.324864086,308.2938788,9,Fire
0.332604353,304.0306576,9,Fire
0.340344619,307.4760671,9,Fire
0.348084886,308.4311755,9,Fire
0.355825152,311.6903477,9,Fire
0.363565419,310.5738293,9,Fire
0.362060359,306.5403314,9,No_fire
0.360555298,305.8200551,9,No_fire
0.359050238,304.2436336,9,No_fire
0.357545178,310.6503626,9,No_fire
0.356040118,303.5646277,9,No_fire
0.354535058,305.2600283,9,No_fire
0.353029998,304.8156587,9,Fire
0.351524937,305.6033454,5,Fire
0.350019877,304.3562716,5,Fire
0.348514817,305.8089216,5,Fire
0.347009757,308.7828465,9,Fire
0.345504697,302.2491015,9,No_fire
0.343999636,306.1706604,8,No_fire
0.342494576,303.091486,8,Fire
0.340989516,303.843781,8,Fire
0.339484456,303.4997412,5,Fire
0.34741104,302.1489662,5,No_fire
0.355337623,302.2189251,8,No_fire
0.363264207,300.4925869,9,Fire
0.37119079,301.4814447,5,Fire
0.379117374,301.4435647,9,No_fire
0.387043958,304.6884806,9,Fire
0.394970541,304.8670006,9,Fire
0.402897125,305.3760286,9,Fire
0.410823709,300.1558165,9,Fire
0.418750292,295.7700809,9,Fire
0.426676876,299.8237419,9,Fire
0.434603459,299.5775014,9,Fire
0.442530043,301.7639139,5,Fire
0.450456627,299.6523642,8,No_fire
0.45838321,303.0746265,8,No_fire
0.466309794,299.7796387,9,No_fire
0.463034782,299.2747023,9,No_fire
0.459759769,298.5761409,5,Fire
0.456484757,301.0434452,5,Fire
0.453209745,300.1733099,5,No_fire
0.449934733,299.2177943,9,Fire
0.44665972,302.6824786,5,Fire
0.443384708,301.1728832,5,Fire
0.440109696,300.3852779,9,Fire
0.436834684,302.8059976,9,Fire
0.433559672,300.3071381,9,Fire
0.430284659,295.7771816,9,Fire
0.427009647,292.0422602,9,Fire
0.423734635,295.054916,9,Fire
0.420459623,290.7686714,9,Fire
0.41718461,293.4951443,5,Fire
0.413909598,296.3600004,9,Fire
0.40917753,296.3744231,5,Fire
0.404445461,299.0921967,9,Fire
0.399713393,298.0235734,9,Fire
0.394981325,300.0049988,9,Fire
0.390249256,297.094973,9,Fire
0.385517188,299.2777949,9,Fire
0.380785119,298.6741248,5,Fire
0.376053051,297.9303634,5,Fire
0.371320982,297.794621,5,Fire
0.366588914,297.7106763,5,Fire
0.361856846,300.0698492,5,Fire
0.357124777,292.5916768,5,Fire
0.352392709,296.8094253,5,Fire
0.34766064,290.748781,8,No_fire
0.342928572,296.4850587,5,No_fire
0.338196503,297.3051496,5,No_fire
0.342958285,296.6708968,9,No_fire
0.347720066,291.3690642,8,No_fire
0.352481847,285.6028951,5,No_fire
0.357243628,288.2831843,5,No_fire
0.362005409,288.8370062,8,No_fire
0.36676719,289.5146509,5,No_fire
0.371528971,290.4144365,5,No_fire
0.376290752,288.3093207,5,No_fire
0.381052533,288.8108602,9,No_fire
0.385814314,283.944141,5,No_fire
0.390576095,284.3300315,5,No_fire
0.395337876,281.4923869,5,No_fire
0.400099657,285.4142261,5,No_fire
0.404861438,277.1088342,5,No_fire
0.409623219,285.5290477,5,No_fire
0.414385,282.8868396,5,No_fire
